ID,Description1,Price1,Price2,Price3,ID_1,Description,Folder,File Name
CTW-16-SUPER,CTW-SUPER-RELAXER 160Z,6,0,0,RELAXER,RELAXER,,
CTW-MSH,CTW NEUTRALIZING SHAMPOO,4.5,0,0,RELAXER,RELAXER,,
CTW-R A  4#,MILD CTW RELAXER A 4 #,18,0,0,RELAXER,RELAXER,,
CTW-R S 4#,SUPER CTW-RELAXER SUPER 4#,18,0,0,RELAXER,RELAXER,,
CTW-R-A+ 4#,REGULAR CTW REAXER A+ 4#,18,0,0,RELAXER,RELAXER,,
DEV20-4,ENZYME DEVELOPER 20 V  4z,5,0,0,SAMPLES,SAMPLES,,
DURAGL-2,DURAGLOSS-2,5,0,0,SAMPLES,SAMPLES,,
UGLZ-4             *,ULTRA GLAZING  4Z *,6.5,0,0,SAMPLES,SAMPLES,,
SD CONDITIONER,JA SATIN DOLL CONDITIONER,4.9,9.8,9.8,SATIN,SATIN DOLL,,
SD HAIR SPRAY,JA SATIN DOLL HAIR SPRAY,4.9,9.8,9.8,SATIN,SATIN DOLL,,
SD SHAMPOO,JA SATIN DOLL SHAMPOO,4.9,9.8,9.8,SATIN,SATIN DOLL,,
BLSAND,BLEACHING SAND,19.95,0,0,SERVICE,SERVICE,Web Color,Bleaching Sand
DEV10-16,GLAZING ENZYME 10 16Z,9.95,0,0,SERVICE,SERVICE,,
DEV10-32,GLAZING ENZYME 10 32Z,14.95,0,0,SERVICE,SERVICE,,
DEV20-16,GLAZING ENZYME 20 16Z,9.95,0,0,SERVICE,SERVICE,,
DEV20-32,GLAZING ENZYME 20 32Z,14.95,0,0,SERVICE,SERVICE,,
DEV30-16,GLAZING ENZYME 30 16Z,10.95,0,0,SERVICE,SERVICE,,
DEV30-32,GLAZING ENZYME 30 32Z,16.5,0,0,SERVICE,SERVICE,,
DEV40-16,GLAZING ENZYME 40 16Z,12.5,0,0,SERVICE,SERVICE,,
DEV40-32,GLAZING ENZYME 40 32Z,17.95,0,0,SERVICE,SERVICE,,
DURAGL-16,DURAGLOSS 16z,16,0,0,SERVICE,SERVICE,,
GENTLE-16,GENTLE DEPOSIT ENZYME,9.95,0,0,SERVICE,SERVICE,,
GENTLE-32,GENTLE DEPOSIT HYDRO ENZYME,14.95,0,0,SERVICE,SERVICE,,
GLZ-16,GLAZING 16Z   *,9.95,0,0,SERVICE,SERVICE,,
GLZ-4,GLAZING  4Z  *,5,0,0,SERVICE,SERVICE,,
KITDEV             *,KIT DEVELOPER,0,0,0,SERVICE,SERVICE,,
PROMO 8 C,TCA,0,0,0,SERVICE,SERVICE,,
STGLZ-2,STAR GLAZING 2Z,5,0,0,SERVICE,SERVICE,Web Color,star glazing 2oz
STGLZ-8,STAR GLAZING 8z,9.95,0,0,SERVICE,SERVICE,Web Color,star glazing 8oz
TCA,THE COLOR ACCELERATOR,20,0,0,SERVICE,SERVICE,                                            THE COLOR ACCELERATOR                                                    ( 55 APPLICATIONS)                                  *  PROCESS ANY HAIR COLOR IN JUST 4-10 MINUTES        *  ADD APPROXIMATELY 17 DROPS TO COLOR MIXTURE.  AVERAGE              MIXTURE BEING 2 OZ OF COLOR AND 2 OZ ENZYMES.  MIX  WELL.              *  APPLY TO THE ROOT AREA.  MAKING SURE THE TEMPLES ARE              WELL COVERED.           * COVER WITH PLASTIC CAP AND PLACE CLIENT UNDER A PRE-               HEATED WARM DRYER. (NOT HOT).  PROCESS FOR  8-10 MIN.                IF HAIR IS WHITE IT MAY BE MORE RESISTANT AND REQUIRE MORE                  PROCESSING TIME. APPROXIMATLY 5 MINUTES              *  TCA IS A HEAT ACTIVATED PRODUCT THAT MUST BE PUT UNDER                   THE DRYER.               *  AFTER THE PROCESSING TIME REMOVE THE CAP AND PULL THE                   THE COLOR THRU TO THE ENDS.  WAIT 4-5 MIN. FOR COOLING THE                     HAIR .  ADD A SMALL AMOUNT OF WATER AND WORK INTO A                      LATHER  AND RINSE WITH COOL WATER.                                                           ,
UGLZ-16,ULTRA GLAZING 16Z *,12.95,0,0,SERVICE,SERVICE,Web Color,ultraglazing 16oz
BSKIWI-1           *,BOTANICAL SILK KIWI SH 1z,0.55,1.7,1.7,SHAMPOO,SHAMPOO,web shampoo,Boatnical Silk Kiwi 1oz
BSKIWI-128,BOT SILK KIWI SHAMPOO GALLON,29.5,63,64,SHAMPOO,SHAMPOO,web shampoo,Botanical Silk Kiwi GALLON
BSKIWI-16,BOT. SILK KIWI SHAMPOO 16 OU,7.75,17.5,18.5,SHAMPOO,SHAMPOO,web shampoo,Botanical Silk Kiwi 16oz
BSKIWI-2,BOTANICAL SILK KIWI SHAMPOO,1.6,3.2,3.2,SHAMPOO,SHAMPOO,web shampoo,Botanical Silk Kiwi 2oz
BSKIWI-34,BOTSILK KIWI SPOO - LITER,12.75,27.5,28.5,SHAMPOO,SHAMPOO,web shampoo,
BSKIWI-8,BOTANICAL SILK KIWI SHAMPOO,4.25,9.5,10.5,SHAMPOO,SHAMPOO,web shampoo,Botanical Silk Kiwi 8oz
CEA-128,CEA SHAM GAL            *,22.5,49,50,SHAMPOO,SHAMPOO,web shampoo,CEA Shampoo Gallon
CEA-16,CEA SHAM 16Z,7.5,17,18,SHAMPOO,SHAMPOO,web shampoo,CEA Shampoo 16oz
CEA-32,CEA SHAM 32Z,11.25,25.5,26.5,SHAMPOO,SHAMPOO,web shampoo,CEA Shampoo Liter
CEA-8,CEA SHAM  8Z,4,9,10,SHAMPOO,SHAMPOO,web shampoo,CEA Shampoo 8oz
